"Označení
a","TEXT
b","Číslo
řádku
c",Skutečnost v účetním období,
,,,"běžném
1","minulém
2"
I.,Tržby z prodeje výrobků a služeb,01,4 913,2 938
A.,Výkonová spotřeba (součet A.1. až A.3.),03,3 966,2 027
2.,Spotřeba materiálu a energie,05,181,160
3.,Služby,06,3 785,1 867
D.,Osobní náklady (součet D.1. až D.2.),09,318,755
D.1.,Mzdové náklady,10,318,751
2.,"Náklady na sociální zabezpečení, zdravotní pojištění a ostatní náklady",11,0,4
2.2.,Ostatní náklady,13,0,4
III.,Ostatní provozní výnosy (součet III.1 až III.3.),20,1,3
3.,Jiné provozní výnosy,23,1,3
F.,Ostatní provozní náklady (součet F.1. až F.5.),24,2,2
3.,Daně a poplatky,27,2,1
5.,Jiné provozní náklady,29,0,1
*,Provozní výsledek hospodaření (+/-),30,628,157
VII.,Ostatní finanční výnosy,46,0,2
K.,Ostatní finanční náklady,47,97,45
*,Finanční výsledek hospodaření (+/-),48,-97,-43
**,Výsledek hospodaření před zdaněním (+/-),49,531,114
L.,Daň z příjmů (součet L. 1 + L.2.),50,125,28
L.1.,Daň z příjmů splatná,51,125,28
**,Výsledek hospodaření po zdanění (+/-),53,406,86
***,Výsledek hospodaření za účetní období (+/-),55,406,86
,Čistý obrat za účetní období = I. + II. + III. + IV. + V. + VI. + VII:,56,4 914,2 943
